insurance_id,insurance_number,client_id,employee_id,begin_date,expiration_date,insuranceType_id,payment_id,branch_id,price
0,Ube-B0/C-0/E-35-5766,0,35,2018-06-28,2019-06-28,2,0,0,1900
1,Ube-B1/C-1/E-298-7183,1,298,2017-10-18,2018-10-18,1,1,1,600
2,Ube-B2/C-2/E-250-6257,2,250,2015-01-01,2016-01-01,1,2,2,2500
3,Ube-B3/C-3/E-57-8425,3,57,2019-12-06,2020-12-05,1,3,3,1800
4,Ube-B4/C-4/E-941-7321,4,941,2018-02-21,2019-02-21,2,4,4,1800
5,Ube-B5/C-5/E-475-1573,5,475,2018-02-10,2019-02-10,3,5,5,2400
6,Ube-B6/C-6/E-379-8828,6,379,2019-07-29,2020-07-28,3,6,6,1700
7,Ube-B7/C-7/E-231-0106,7,231,2018-10-30,2019-10-30,3,7,7,1200
8,Ube-B8/C-8/E-29-5675,8,29,2017-04-15,2018-04-15,3,8,8,2200
9,Ube-B9/C-9/E-793-6310,9,793,2013-11-14,2014-11-14,2,9,9,1800
10,Ube-B10/C-10/E-76-1379,10,76,2014-12-03,2015-12-03,0,10,10,1900
11,Ube-B11/C-11/E-682-6876,11,682,2017-11-13,2018-11-13,3,11,11,2000
12,Ube-B12/C-12/E-229-3336,12,229,2017-12-30,2018-12-30,0,12,12,1800
13,Ube-B13/C-13/E-289-4280,13,289,2015-05-14,2016-05-13,3,13,13,1800
14,Ube-B14/C-14/E-750-6481,14,750,2019-05-31,2020-05-30,0,14,14,1500
15,Ube-B15/C-15/E-871-4292,15,871,2019-05-01,2020-04-30,1,15,15,1400
16,Ube-B0/C-16/E-374-9035,16,374,2013-04-08,2014-04-08,2,16,0,1700
17,Ube-B1/C-17/E-980-1966,17,980,2019-12-26,2020-12-25,0,17,1,1300
18,Ube-B2/C-18/E-742-0478,18,742,2014-01-11,2015-01-11,1,18,2,2000
19,Ube-B3/C-19/E-370-2585,19,370,2013-10-11,2014-10-11,2,19,3,1100
20,Ube-B4/C-20/E-27-4454,20,27,2016-05-23,2017-05-23,1,20,4,1200
21,Ube-B5/C-21/E-936-7414,21,936,2016-10-17,2017-10-17,1,21,5,1700
22,Ube-B6/C-22/E-23-4283,22,23,2011-10-29,2012-10-28,3,22,6,2000
23,Ube-B7/C-23/E-103-8884,23,103,2015-07-07,2016-07-06,1,23,7,1600
24,Ube-B8/C-24/E-189-3095,24,189,2019-10-14,2020-10-13,3,24,8,800
25,Ube-B9/C-25/E-860-5905,25,860,2017-07-03,2018-07-03,1,25,9,1800
26,Ube-B10/C-26/E-495-7500,26,495,2018-04-10,2019-04-10,1,26,10,800
27,Ube-B11/C-27/E-837-6735,27,837,2016-09-26,2017-09-26,0,27,11,400
28,Ube-B12/C-28/E-336-2881,28,336,2018-03-20,2019-03-20,1,28,12,800
29,Ube-B13/C-29/E-867-5691,29,867,2019-06-18,2020-06-17,3,29,13,1600
30,Ube-B14/C-30/E-475-8639,30,475,2017-05-28,2018-05-28,0,30,14,900
31,Ube-B15/C-31/E-467-1045,31,467,2019-06-02,2020-06-01,0,31,15,1600
32,Ube-B0/C-32/E-40-3717,32,40,2016-09-09,2017-09-09,1,32,0,1400
33,Ube-B1/C-33/E-47-4638,33,47,2017-10-29,2018-10-29,2,33,1,1700
34,Ube-B2/C-34/E-78-7266,34,78,2017-10-25,2018-10-25,0,34,2,400
35,Ube-B3/C-35/E-78-1171,35,78,2015-11-05,2016-11-04,0,35,3,400
36,Ube-B4/C-36/E-628-7964,36,628,2019-12-19,2020-12-18,3,36,4,1700
37,Ube-B5/C-37/E-419-5676,37,419,2019-04-21,2020-04-20,3,37,5,1600
38,Ube-B6/C-38/E-964-6235,38,964,2019-09-10,2020-09-09,2,38,6,700
39,Ube-B7/C-39/E-184-0355,39,184,2019-12-17,2020-12-16,1,39,7,2500
40,Ube-B8/C-40/E-738-4534,40,738,2014-11-12,2015-11-12,2,40,8,1700
41,Ube-B9/C-41/E-881-9560,41,881,2017-01-19,2018-01-19,1,41,9,1000
42,Ube-B10/C-42/E-269-7059,42,269,2018-09-08,2019-09-08,1,42,10,2200
43,Ube-B11/C-43/E-50-8181,43,50,2017-07-07,2018-07-07,2,43,11,400
