payment_id,payment_type,payment_amount,payment_date
0,cash,1200,2018-06-28
1,cash,1300,2017-10-18
2,cash,1500,2015-01-01
3,cash,1900,2019-12-06
4,cash,2200,2018-02-21
5,cash,800,2018-02-10
6,cash,700,2019-07-29
7,cash,1700,2018-10-30
8,cash,600,2017-04-15
9,cash,2400,2013-11-14
10,cash,1000,2014-12-03
11,cash,800,2017-11-13
12,cash,900,2017-12-30
13,cash,1600,2015-05-14
14,cash,700,2019-05-31
15,cash,400,2019-05-01
16,cash,1900,2013-04-08
17,cash,600,2019-12-26
18,cash,1700,2014-01-11
19,cash,300,2013-10-11
20,cash,1900,2016-05-23
21,cash,1600,2016-10-17
22,cash,500,2011-10-29
23,cash,800,2015-07-07
24,cash,1800,2019-10-14
25,cash,1800,2017-07-03
26,cash,400,2018-04-10
27,cash,1300,2016-09-26
28,cash,1400,2018-03-20
29,cash,1100,2019-06-18
30,cash,2200,2017-05-28
31,cash,1800,2019-06-02
32,cash,2400,2016-09-09
33,cash,1500,2017-10-29
34,cash,2200,2017-10-25
35,cash,300,2015-11-05
36,cash,1000,2019-12-19
37,cash,1900,2019-04-21
38,cash,300,2019-09-10
39,cash,1400,2019-12-17
40,cash,2300,2014-11-12
41,cash,600,2017-01-19
42,cash,500,2018-09-08
43,cash,1400,2017-07-07
44,cash,400,2019-01-10
45,cash,500,2017-03-06
46,cash,700,2014-11-09
47,cash,1300,2016-09-27
48,cash,600,2018-01-14
49,cash,1600,2013-07-18
50,cash,400,2018-05-01
51,cash,1100,2019-11-22
52,cash,2300,2019-06-02
53,cash,2500,2018-12-09
54,cash,900,2019-03-20
55,cash,1100,2019-09-10
56,cash,2500,2014-01-10
57,cash,1200,2019-10-20
58,cash,1500,2019-11-30
59,cash,1700,2015-11-11
60,cash,2500,2017-10-15
61,cash,1100,2019-06-02
62,cash,1400,2017-07-13
63,cash,500,2019-07-27
64,cash,2400,2015-11-09
65,cash,1100,2016-02-04
66,cash,600,2013-07-25
67,cash,2500,2015-12-17
68,cash,400,2016-10-19
69,cash,1200,2017-12-28
70,cash,1400,2018-03-10
71,cash,300,2016-05-10
72,cash,1800,2019-10-31
73,cash,1000,2019-07-04
74,cash,1100,2015-05-08
75,cash,700,2017-07-31
76,cash,900,2016-09-18
77,cash,1400,2017-06-25
78,cash,1000,2019-10-26
79,cash,1100,2019-05-11
80,cash,1300,2016-03-20
81,cash,1100,2018-12-03
82,cash,2500,2019-08-28
83,cash,1500,2015-12-29
84,cash,2500,2019-12-18
85,cash,1900,2017-02-11
86,cash,700,2018-07-08
87,cash,1400,2017-06-15
88,cash,1100,2018-10-27
89,cash,2400,2019-11-12
90,cash,1500,2012-11-06
91,cash,1900,2019-10-31
92,cash,400,2014-08-11
93,cash,2300,2018-11-02
94,cash,700,2019-04-30
95,cash,2300,2019-04-10
96,cash,1400,2019-11-24
97,cash,1900,2014-01-17
98,cash,1900,2017-07-02
99,cash,1100,2017-09-05
100,cash,1800,2019-10-20
101,cash,2200,2016-11-07
102,cash,1500,2017-01-05
103,cash,1500,2019-02-13
104,cash,1200,2017-10-25
105,cash,2500,2017-04-27
106,cash,1800,2016-10-25
107,cash,1700,2018-05-16
108,cash,2300,2015-09-10
