branch_id,branch_name,region_id,city_id,street_id,houseNr_id
0,Fundacja Kaliciak Sp. z o.o.,0,0,0,0
1,Grupa Prygiel Sp.j.,1,1,1,1
2,FPUH Piszcz,2,2,2,2
3,Glaza s.c.,3,3,3,3
4,Gabinety Rejmak,4,4,4,4
5,Stowarzyszenie Rejmer,5,5,5,5
6,Grupa Labocha-Kapustka S.A.,6,6,6,6
7,FPUH Wochna,7,7,7,7
8,Gabinety Szaj Sp. z o.o.,8,8,8,8
9,Gabinety Staœko S.A.,9,9,9,9
10,Kempny-Chuchla Sp.k.,10,10,10,10
11,FPUH Œwigoñ-Irzyk i syn s.c.,11,11,11,11
12,Jerzyk Sp.j.,12,12,12,12
13,Cofa³a-Jêdra s.c.,13,13,13,13
14,Karalus s.c.,14,14,14,14
15,Stowarzyszenie Fiedorczuk Sp. z o.o. Sp.k.,15,15,15,15
