branch_id,branch_name,region_id,city_id,street_id,houseNr_id
0,FPUH Bugno,0,0,0,0
1,Gabinety S³adek Sp. z o.o.,1,1,1,1
2,Gabinety Wasilewicz Sp.j.,2,2,2,2
3,Stowarzyszenie ZbrzeŸniak S.A.,3,3,3,3
4,Krauza-Fidura Sp. z o.o. Sp.k.,4,4,4,4
5,Stowarzyszenie ¯urawik-Koniecko i syn s.c.,5,5,5,5
6,Gabinety Lesik S.A.,6,6,6,6
7,Gabinety Rz¹ca-Dej Sp. z o.o. Sp.k.,7,7,7,7
8,FPUH £achut-Bia³ous i syn s.c.,8,8,8,8
9,Dorobek-G³owienka Sp. z o.o. Sp.k.,9,9,9,9
10,Gabinety Dzienis-Kuster Sp.j.,10,10,10,10
11,Grupa Ludwik-Smoter S.A.,11,11,11,11
12,PPUH Kansy,12,12,12,12
13,Nytko-Bubel i syn s.c.,13,13,13,13
14,Spó³dzielnia Sêdek Sp.k.,14,14,14,14
15,Gabinety Pitala,15,15,15,15
