houseNr_id,houseNr_nr
0,59/54
1,774
2,78
3,49
4,00
5,32/93
6,884
7,15/05
8,14
9,760
10,41/63
11,410
12,33/61
13,43
14,29/34
15,12/49
16,13/07
17,07
18,659
19,927
20,597
21,272
22,708
23,300
24,58
25,05/17
26,72/60
27,226
28,620
29,210
30,149
31,18
32,504
33,916
34,49
35,180
36,46/74
37,371
38,061
39,382
40,328
41,70
42,05/66
43,407
44,49
45,34/98
46,06/05
47,58/13
48,58
49,56/25
50,42
51,58/76
52,41
53,37/41
54,65/47
55,15/06
56,142
57,295
58,191
59,365
60,637
61,34/26
62,83/74
63,04/05
64,82/28
65,655
66,28
67,11/73
68,21/22
69,247
70,02
71,57/21
72,52/47
73,31
74,57/26
75,131
76,623
77,860
78,176
79,17
80,46
81,73
82,83/90
83,75
84,35
85,44
86,35
87,20
88,57
89,66/68
90,99/81
91,56
92,54
93,80/35
94,13
95,78
96,574
97,23
98,388
99,92
