insurance_id,insurance_number,client_id,employee_id,begin_date,expiration_date,insuranceType_id,payment_id,branch_id,price
0,Ube-B0/C-0/E-260-2697,0,260,2017-04-06,2018-04-06,1,0,0,500
1,Ube-B1/C-1/E-735-4581,1,735,2017-07-04,2018-07-04,3,1,1,1600
2,Ube-B2/C-2/E-210-7384,2,210,2019-06-30,2020-06-29,3,2,2,1900
3,Ube-B3/C-3/E-768-5340,3,768,2015-07-02,2016-07-01,2,3,3,300
4,Ube-B4/C-4/E-723-2703,4,723,2019-09-09,2020-09-08,0,4,4,1200
5,Ube-B5/C-5/E-217-2651,5,217,2019-05-18,2020-05-17,3,5,5,400
6,Ube-B6/C-6/E-708-3303,6,708,2015-09-20,2016-09-19,0,6,6,1300
7,Ube-B7/C-7/E-183-8853,7,183,2019-09-25,2020-09-24,2,7,7,300
8,Ube-B8/C-8/E-648-6445,8,648,2018-10-08,2019-10-08,3,8,8,2100
9,Ube-B9/C-9/E-529-2206,9,529,2019-09-19,2020-09-18,2,9,9,1100
10,Ube-B10/C-10/E-711-2227,10,711,2019-11-04,2020-11-03,3,10,10,1600
11,Ube-B11/C-11/E-607-2435,11,607,2017-12-14,2018-12-14,3,11,11,2400
12,Ube-B12/C-12/E-693-0667,12,693,2019-08-11,2020-08-10,3,12,12,800
13,Ube-B13/C-13/E-305-3732,13,305,2016-01-07,2017-01-06,3,13,13,2500
14,Ube-B14/C-14/E-75-6874,14,75,2017-11-14,2018-11-14,2,14,14,400
15,Ube-B15/C-15/E-727-3124,15,727,2019-03-22,2020-03-21,0,15,15,600
16,Ube-B0/C-16/E-666-6413,16,666,2019-12-16,2020-12-15,0,16,0,600
17,Ube-B1/C-17/E-768-2900,17,768,2018-03-29,2019-03-29,3,17,1,2300
18,Ube-B2/C-18/E-18-9389,18,18,2010-10-26,2011-10-26,3,18,2,2500
19,Ube-B3/C-19/E-796-0427,19,796,2016-05-24,2017-05-24,2,19,3,1600
20,Ube-B4/C-20/E-932-8107,20,932,2015-05-02,2016-05-01,2,20,4,2300
21,Ube-B5/C-21/E-753-4050,21,753,2012-11-20,2013-11-20,1,21,5,1400
22,Ube-B6/C-22/E-318-8607,22,318,2018-02-17,2019-02-17,1,22,6,2100
23,Ube-B7/C-23/E-479-8874,23,479,2015-12-04,2016-12-03,3,23,7,900
24,Ube-B8/C-24/E-249-1022,24,249,2019-01-12,2020-01-12,2,24,8,1300
25,Ube-B9/C-25/E-314-3006,25,314,2019-01-31,2020-01-31,1,25,9,1700
26,Ube-B10/C-26/E-182-0258,26,182,2017-06-02,2018-06-02,3,26,10,2000
27,Ube-B11/C-27/E-691-6010,27,691,2019-12-05,2020-12-04,2,27,11,500
28,Ube-B12/C-28/E-358-2895,28,358,2015-08-11,2016-08-10,2,28,12,2500
29,Ube-B13/C-29/E-480-6821,29,480,2016-10-22,2017-10-22,0,29,13,600
30,Ube-B14/C-30/E-476-1337,30,476,2015-01-17,2016-01-17,1,30,14,400
31,Ube-B15/C-31/E-717-4394,31,717,2018-12-30,2019-12-30,0,31,15,2500
32,Ube-B0/C-32/E-196-0751,32,196,2019-04-11,2020-04-10,2,32,0,2500
33,Ube-B1/C-33/E-996-6160,33,996,2016-04-02,2017-04-02,1,33,1,2000
34,Ube-B2/C-34/E-591-4841,34,591,2019-12-12,2020-12-11,3,34,2,1700
35,Ube-B3/C-35/E-587-6764,35,587,2017-06-24,2018-06-24,2,35,3,1400
36,Ube-B4/C-36/E-49-0378,36,49,2015-09-19,2016-09-18,3,36,4,500
37,Ube-B5/C-37/E-684-4787,37,684,2017-12-06,2018-12-06,0,37,5,1000
38,Ube-B6/C-38/E-466-1427,38,466,2017-07-03,2018-07-03,2,38,6,900
39,Ube-B7/C-39/E-626-7076,39,626,2017-05-31,2018-05-31,3,39,7,1400
40,Ube-B8/C-40/E-286-6796,40,286,2017-01-02,2018-01-02,3,40,8,2500
41,Ube-B9/C-41/E-459-0558,41,459,2017-04-30,2018-04-30,2,41,9,300
42,Ube-B10/C-42/E-773-8203,42,773,2017-05-06,2018-05-06,1,42,10,400
43,Ube-B11/C-43/E-934-8290,43,934,2019-08-30,2020-08-29,1,43,11,1500
44,Ube-B12/C-44/E-36-0562,44,36,2013-12-05,2014-12-05,3,44,12,1200
45,Ube-B13/C-45/E-528-3955,45,528,2019-03-14,2020-03-13,2,45,13,1800
46,Ube-B14/C-46/E-412-3229,46,412,2018-11-23,2019-11-23,3,46,14,1000
47,Ube-B15/C-47/E-584-2802,47,584,2017-10-24,2018-10-24,1,47,15,2000
48,Ube-B0/C-48/E-726-5842,48,726,2016-03-05,2017-03-05,3,48,0,300
49,Ube-B1/C-49/E-266-2834,49,266,2019-11-25,2020-11-24,0,49,1,300
50,Ube-B2/C-50/E-279-8480,50,279,2019-12-18,2020-12-17,2,50,2,2500
51,Ube-B3/C-51/E-692-3416,51,692,2016-08-05,2017-08-05,2,51,3,300
52,Ube-B4/C-52/E-280-5908,52,280,2018-08-05,2019-08-05,2,52,4,800
53,Ube-B5/C-53/E-325-9000,53,325,2019-11-24,2020-11-23,3,53,5,1600
54,Ube-B6/C-54/E-347-3544,54,347,2017-01-10,2018-01-10,3,54,6,400
55,Ube-B7/C-55/E-117-4094,55,117,2018-12-19,2019-12-19,3,55,7,500
56,Ube-B8/C-56/E-530-9541,56,530,2019-11-14,2020-11-13,0,56,8,1500
57,Ube-B9/C-57/E-514-0121,57,514,2019-06-02,2020-06-01,3,57,9,1000
58,Ube-B10/C-58/E-542-2613,58,542,2019-07-10,2020-07-09,3,58,10,2300
59,Ube-B11/C-59/E-474-9844,59,474,2019-10-24,2020-10-23,0,59,11,300
