insurance_id,insurance_number,client_id,employee_id,begin_date,expiration_date,insuranceType_id,payment_id,branch_id,price
0,Ube-B0/C-0/E-236-9217,0,236,2015-05-28,2016-05-27,4,0,0,1700
1,Ube-B1/C-1/E-711-4186,1,711,2017-09-01,2018-09-01,2,1,1,400
2,Ube-B2/C-2/E-433-7697,2,433,2016-06-05,2017-06-05,0,2,2,1800
3,Ube-B3/C-3/E-989-1224,3,989,2019-01-08,2020-01-08,1,3,3,1700
4,Ube-B4/C-4/E-546-7117,4,546,2019-09-18,2020-09-17,4,4,4,1700
5,Ube-B5/C-5/E-572-6612,5,572,2016-09-19,2017-09-19,3,5,5,1100
6,Ube-B6/C-6/E-0-9568,6,0,2013-10-10,2014-10-10,2,6,6,300
7,Ube-B7/C-7/E-356-9841,7,356,2019-09-30,2020-09-29,1,7,7,800
8,Ube-B8/C-8/E-598-0510,8,598,2019-05-23,2020-05-22,2,8,8,1100
9,Ube-B9/C-9/E-244-5004,9,244,2013-02-05,2014-02-05,3,9,9,2100
10,Ube-B10/C-10/E-254-0553,10,254,2016-07-22,2017-07-22,2,10,10,1400
11,Ube-B11/C-11/E-111-6567,11,111,2016-12-10,2017-12-10,2,11,11,1800
12,Ube-B12/C-12/E-740-2113,12,740,2019-08-08,2020-08-07,3,12,12,1500
13,Ube-B13/C-13/E-339-8624,13,339,2019-12-29,2020-12-28,4,13,13,1400
14,Ube-B14/C-14/E-342-9362,14,342,2019-09-09,2020-09-08,2,14,14,2000
15,Ube-B15/C-15/E-13-6246,15,13,2019-01-28,2020-01-28,3,15,15,1500
16,Ube-B0/C-16/E-89-7883,16,89,2016-03-11,2017-03-11,4,16,0,1100
17,Ube-B1/C-17/E-733-0145,17,733,2015-09-24,2016-09-23,2,17,1,1100
18,Ube-B2/C-18/E-358-9444,18,358,2016-03-07,2017-03-07,2,18,2,400
19,Ube-B3/C-19/E-512-6418,19,512,2019-11-19,2020-11-18,4,19,3,1700
20,Ube-B4/C-20/E-670-3975,20,670,2013-02-03,2014-02-03,0,20,4,1700
21,Ube-B5/C-21/E-502-3914,21,502,2014-08-07,2015-08-07,1,21,5,600
22,Ube-B6/C-22/E-21-0996,22,21,2016-09-03,2017-09-03,4,22,6,1000
23,Ube-B7/C-23/E-767-5751,23,767,2019-09-07,2020-09-06,0,23,7,400
24,Ube-B8/C-24/E-482-3633,24,482,2019-04-07,2020-04-06,0,24,8,800
25,Ube-B9/C-25/E-924-3731,25,924,2018-11-30,2019-11-30,3,25,9,1900
26,Ube-B10/C-26/E-174-9294,26,174,2011-12-02,2012-12-01,0,26,10,2100
27,Ube-B11/C-27/E-433-1303,27,433,2018-03-30,2019-03-30,1,27,11,1700
28,Ube-B12/C-28/E-541-7270,28,541,2018-02-15,2019-02-15,2,28,12,1800
29,Ube-B13/C-29/E-420-4157,29,420,2018-03-09,2019-03-09,4,29,13,500
30,Ube-B14/C-30/E-286-1194,30,286,2019-09-13,2020-09-12,2,30,14,400
31,Ube-B15/C-31/E-536-0954,31,536,2019-06-21,2020-06-20,0,31,15,2500
32,Ube-B0/C-32/E-296-3823,32,296,2019-11-25,2020-11-24,4,32,0,500
33,Ube-B1/C-33/E-349-4525,33,349,2014-12-26,2015-12-26,0,33,1,1000
34,Ube-B2/C-34/E-117-2394,34,117,2018-09-01,2019-09-01,3,34,2,900
35,Ube-B3/C-35/E-492-7805,35,492,2019-04-08,2020-04-07,3,35,3,1100
36,Ube-B4/C-36/E-136-0453,36,136,2019-09-27,2020-09-26,4,36,4,500
37,Ube-B5/C-37/E-137-8361,37,137,2019-11-13,2020-11-12,2,37,5,2200
38,Ube-B6/C-38/E-334-7806,38,334,2019-01-10,2020-01-10,3,38,6,1100
39,Ube-B7/C-39/E-299-7224,39,299,2014-10-01,2015-10-01,4,39,7,2500
40,Ube-B8/C-40/E-231-7505,40,231,2017-11-26,2018-11-26,3,40,8,1200
41,Ube-B9/C-41/E-643-5396,41,643,2012-12-26,2013-12-26,2,41,9,600
42,Ube-B10/C-42/E-966-8362,42,966,2019-08-25,2020-08-24,1,42,10,700
43,Ube-B11/C-43/E-371-8211,43,371,2014-12-04,2015-12-04,3,43,11,1100
44,Ube-B12/C-44/E-715-6605,44,715,2014-03-02,2015-03-02,1,44,12,2000
45,Ube-B13/C-45/E-627-1065,45,627,2018-06-14,2019-06-14,3,45,13,2300
46,Ube-B14/C-46/E-325-2551,46,325,2018-10-31,2019-10-31,1,46,14,2400
47,Ube-B15/C-47/E-921-3687,47,921,2016-09-05,2017-09-05,4,47,15,1000
48,Ube-B0/C-48/E-857-1688,48,857,2018-02-01,2019-02-01,1,48,0,500
49,Ube-B1/C-49/E-957-4831,49,957,2015-12-02,2016-12-01,4,49,1,900
50,Ube-B2/C-50/E-29-0009,50,29,2016-06-16,2017-06-16,4,50,2,500
51,Ube-B3/C-51/E-358-8199,51,358,2019-05-05,2020-05-04,0,51,3,1800
52,Ube-B4/C-52/E-832-1166,52,832,2019-12-27,2020-12-26,2,52,4,2300
53,Ube-B5/C-53/E-797-4164,53,797,2015-01-20,2016-01-20,0,53,5,2100
54,Ube-B6/C-54/E-861-1143,54,861,2017-06-19,2018-06-19,2,54,6,400
55,Ube-B7/C-55/E-649-8715,55,649,2017-02-06,2018-02-06,3,55,7,1500
56,Ube-B8/C-56/E-881-3923,56,881,2018-02-13,2019-02-13,3,56,8,700
57,Ube-B9/C-57/E-411-1838,57,411,2017-09-17,2018-09-17,4,57,9,1400
58,Ube-B10/C-58/E-270-9552,58,270,2014-11-05,2015-11-05,0,58,10,1800
59,Ube-B11/C-59/E-99-5389,59,99,2019-01-28,2020-01-28,2,59,11,1300
60,Ube-B12/C-60/E-207-7699,60,207,2014-11-19,2015-11-19,3,60,12,900
61,Ube-B13/C-61/E-367-2776,61,367,2017-02-16,2018-02-16,3,61,13,800
62,Ube-B14/C-62/E-401-5256,62,401,2019-04-01,2020-03-31,2,62,14,1100
63,Ube-B15/C-63/E-573-4363,63,573,2016-02-16,2017-02-15,3,63,15,2100
64,Ube-B0/C-64/E-930-2959,64,930,2018-02-05,2019-02-05,2,64,0,1200
65,Ube-B1/C-65/E-423-1683,65,423,2019-03-28,2020-03-27,1,65,1,700
66,Ube-B2/C-66/E-591-3395,66,591,2017-10-16,2018-10-16,3,66,2,1500
67,Ube-B3/C-67/E-882-3729,67,882,2019-05-02,2020-05-01,4,67,3,1100
68,Ube-B4/C-68/E-179-1117,68,179,2015-06-19,2016-06-18,0,68,4,1000
69,Ube-B5/C-69/E-298-1303,69,298,2018-10-25,2019-10-25,0,69,5,1400
70,Ube-B6/C-70/E-166-6024,70,166,2019-05-08,2020-05-07,3,70,6,1800
71,Ube-B7/C-71/E-967-1284,71,967,2014-04-25,2015-04-25,2,71,7,1200
72,Ube-B8/C-72/E-910-5705,72,910,2011-11-26,2012-11-25,4,72,8,2100
73,Ube-B9/C-73/E-158-2793,73,158,2015-10-23,2016-10-22,2,73,9,2500
74,Ube-B10/C-74/E-161-8386,74,161,2012-09-09,2013-09-09,3,74,10,2300
75,Ube-B11/C-75/E-332-5320,75,332,2018-05-23,2019-05-23,2,75,11,2100
76,Ube-B12/C-76/E-846-3250,76,846,2019-09-05,2020-09-04,1,76,12,900
77,Ube-B13/C-77/E-807-9262,77,807,2019-12-28,2020-12-27,4,77,13,500
78,Ube-B14/C-78/E-749-4041,78,749,2019-05-26,2020-05-25,4,78,14,1600
79,Ube-B15/C-79/E-329-1291,79,329,2018-10-03,2019-10-03,3,79,15,2500
80,Ube-B0/C-80/E-778-1545,80,778,2017-01-04,2018-01-04,3,80,0,600
81,Ube-B1/C-81/E-701-2204,81,701,2019-05-06,2020-05-05,3,81,1,2300
82,Ube-B2/C-82/E-218-5064,82,218,2019-10-29,2020-10-28,0,82,2,1500
83,Ube-B3/C-83/E-541-7337,83,541,2015-12-06,2016-12-05,4,83,3,800
84,Ube-B4/C-84/E-564-7051,84,564,2012-04-29,2013-04-29,0,84,4,900
85,Ube-B5/C-85/E-66-0570,85,66,2019-06-07,2020-06-06,4,85,5,300
86,Ube-B6/C-86/E-344-6886,86,344,2012-11-12,2013-11-12,0,86,6,500
87,Ube-B7/C-87/E-60-1522,87,60,2017-05-08,2018-05-08,3,87,7,1200
88,Ube-B8/C-88/E-555-2753,88,555,2019-12-24,2020-12-23,3,88,8,500
89,Ube-B9/C-89/E-540-6718,89,540,2013-08-25,2014-08-25,0,89,9,2400
