payment_id,payment_type,payment_amount,payment_date
0,cash,2500,2017-04-06
1,cash,300,2017-07-04
2,cash,2200,2019-06-30
3,cash,2300,2015-07-02
4,cash,2500,2019-09-09
5,cash,2400,2019-05-18
6,cash,2500,2015-09-20
7,cash,1600,2019-09-25
8,cash,1500,2018-10-08
9,cash,700,2019-09-19
10,cash,600,2019-11-04
11,cash,2200,2017-12-14
12,cash,2500,2019-08-11
13,cash,2300,2016-01-07
14,cash,2100,2017-11-14
15,cash,1200,2019-03-22
16,cash,2200,2019-12-16
17,cash,500,2018-03-29
18,cash,500,2010-10-26
19,cash,1800,2016-05-24
20,cash,1300,2015-05-02
21,cash,1600,2012-11-20
22,cash,300,2018-02-17
23,cash,2300,2015-12-04
24,cash,2000,2019-01-12
25,cash,1600,2019-01-31
26,cash,2500,2017-06-02
27,cash,700,2019-12-05
28,cash,700,2015-08-11
29,cash,1800,2016-10-22
30,cash,2400,2015-01-17
31,cash,400,2018-12-30
32,cash,2000,2019-04-11
33,cash,1400,2016-04-02
34,cash,1800,2019-12-12
35,cash,300,2017-06-24
36,cash,1200,2015-09-19
37,cash,1700,2017-12-06
38,cash,300,2017-07-03
39,cash,1600,2017-05-31
40,cash,1300,2017-01-02
41,cash,1100,2017-04-30
42,cash,2200,2017-05-06
43,cash,2100,2019-08-30
44,cash,1900,2013-12-05
45,cash,1800,2019-03-14
46,cash,2200,2018-11-23
47,cash,1700,2017-10-24
48,cash,1800,2016-03-05
49,cash,2100,2019-11-25
50,cash,1800,2019-12-18
51,cash,500,2016-08-05
52,cash,1200,2018-08-05
53,cash,1300,2019-11-24
54,cash,800,2017-01-10
55,cash,400,2018-12-19
56,cash,1000,2019-11-14
57,cash,300,2019-06-02
58,cash,2000,2019-07-10
59,cash,500,2019-10-24
60,cash,2400,2018-12-31
61,cash,800,2018-02-23
62,cash,1600,2017-04-15
63,cash,1500,2011-11-15
64,cash,2500,2018-11-01
65,cash,700,2019-03-29
66,cash,2100,2018-06-01
67,cash,400,2017-11-03
68,cash,1900,2015-11-11
69,cash,1500,2016-04-06
70,cash,1800,2014-02-12
71,cash,1200,2018-10-13
72,cash,2000,2017-05-26
73,cash,2300,2019-04-20
74,cash,1500,2015-07-02
75,cash,1600,2018-01-05
76,cash,500,2016-09-16
77,cash,800,2013-08-15
78,cash,1800,2014-10-06
79,cash,1500,2019-01-03
80,cash,2100,2017-11-28
81,cash,800,2019-05-05
82,cash,1800,2017-11-07
83,cash,2100,2016-09-13
84,cash,900,2019-06-25
85,cash,2400,2019-12-04
86,cash,1000,2010-08-02
87,cash,500,2017-11-05
88,cash,700,2019-03-14
89,cash,1800,2018-06-03
90,cash,2400,2019-08-15
91,cash,600,2018-12-28
92,cash,2500,2016-03-25
93,cash,300,2016-02-10
94,cash,1500,2018-07-17
95,cash,2400,2018-07-19
96,cash,900,2018-05-11
97,cash,1600,2017-07-19
98,cash,1200,2011-03-05
99,cash,800,2017-05-03
100,cash,600,2012-04-13
101,cash,1700,2013-07-04
102,cash,2200,2012-05-16
103,cash,1900,2013-08-05
104,cash,1400,2019-11-30
105,cash,300,2015-08-14
106,cash,1700,2014-12-08
107,cash,2100,2018-03-08
108,cash,2300,2018-06-14
109,cash,1700,2016-02-12
110,cash,300,2017-07-12
111,cash,2000,2016-07-19
112,cash,1900,2019-09-27
113,cash,700,2017-10-16
114,cash,1800,2017-02-15
115,cash,1100,2017-12-25
116,cash,1700,2015-11-06
117,cash,2300,2017-04-23
118,cash,2200,2018-12-27
119,cash,1600,2014-11-06
120,cash,700,2019-08-08
121,cash,1700,2012-06-13
122,cash,1700,2015-01-27
123,cash,1300,2013-06-29
124,cash,1000,2011-11-02
125,cash,900,2016-08-16
126,cash,1000,2017-08-11
127,cash,1000,2016-04-20
128,cash,2500,2014-12-30
129,cash,1900,2019-09-19
130,cash,2300,2017-05-10
131,cash,300,2016-12-26
132,cash,600,2018-01-30
133,cash,2400,2018-12-25
134,cash,2500,2019-03-28
135,cash,1000,2019-12-22
136,cash,1500,2013-03-05
137,cash,800,2017-01-21
138,cash,1800,2019-11-17
139,cash,1500,2018-08-27
140,cash,1600,2017-10-26
141,cash,700,2019-09-02
142,cash,1600,2013-08-11
143,cash,800,2017-12-08
144,cash,2400,2015-12-15
145,cash,2400,2016-09-03
146,cash,400,2018-06-10
147,cash,400,2019-08-10
148,cash,1500,2011-05-09
149,cash,2300,2019-10-31
150,cash,600,2011-12-24
151,cash,1700,2019-10-26
152,cash,2000,2017-10-25
153,cash,1700,2018-10-14
154,cash,2200,2019-12-01
155,cash,1100,2018-08-04
156,cash,1600,2017-02-26
157,cash,1400,2019-05-26
158,cash,2200,2016-03-03
159,cash,1500,2019-06-25
160,cash,1700,2015-07-04
161,cash,800,2019-12-18
162,cash,400,2018-11-18
163,cash,700,2019-05-31
164,cash,2300,2012-05-11
165,cash,1100,2017-12-21
166,cash,500,2014-08-10
167,cash,1900,2016-02-25
168,cash,2300,2018-04-23
169,cash,1600,2017-01-02
170,cash,800,2017-04-24
171,cash,1000,2013-09-09
172,cash,2500,2012-07-22
173,cash,1300,2018-02-09
174,cash,400,2017-06-07
