payment_id,payment_type,payment_amount,payment_date,payment_due
0,cash,900,2015-05-28,2015-06-27
1,cash,700,2017-09-01,2017-10-01
2,cash,1800,2016-06-05,2016-07-05
3,cash,400,2019-01-08,2019-02-07
4,cash,400,2019-09-18,2019-10-18
5,cash,1800,2016-09-19,2016-10-19
6,cash,2100,2013-10-10,2013-11-09
7,cash,700,2019-09-30,2019-10-30
8,cash,1800,2019-05-23,2019-06-22
9,cash,1800,2013-02-05,2013-03-07
10,cash,800,2016-07-22,2016-08-21
11,cash,300,2016-12-10,2017-01-09
12,cash,600,2019-08-08,2019-09-07
13,cash,1300,2019-12-29,2020-01-28
14,cash,2000,2019-09-09,2019-10-09
15,cash,1600,2019-01-28,2019-02-27
16,cash,500,2016-03-11,2016-04-10
17,cash,1000,2015-09-24,2015-10-24
18,cash,1600,2016-03-07,2016-04-06
19,cash,2400,2019-11-19,2019-12-19
20,cash,300,2013-02-03,2013-03-05
21,cash,700,2014-08-07,2014-09-06
22,cash,1000,2016-09-03,2016-10-03
23,cash,900,2019-09-07,2019-10-07
24,cash,1300,2019-04-07,2019-05-07
25,cash,1600,2018-11-30,2018-12-30
26,cash,2400,2011-12-02,2012-01-01
27,cash,1700,2018-03-30,2018-04-29
28,cash,1100,2018-02-15,2018-03-17
29,cash,1300,2018-03-09,2018-04-08
30,cash,2300,2019-09-13,2019-10-13
31,cash,900,2019-06-21,2019-07-21
32,cash,1200,2019-11-25,2019-12-25
33,cash,1200,2014-12-26,2015-01-25
34,cash,1800,2018-09-01,2018-10-01
35,cash,1200,2019-04-08,2019-05-08
36,cash,700,2019-09-27,2019-10-27
37,cash,900,2019-11-13,2019-12-13
38,cash,1700,2019-01-10,2019-02-09
39,cash,1100,2014-10-01,2014-10-31
40,cash,1800,2017-11-26,2017-12-26
41,cash,2400,2012-12-26,2013-01-25
42,cash,800,2019-08-25,2019-09-24
43,cash,2500,2014-12-04,2015-01-03
44,cash,400,2014-03-02,2014-04-01
45,cash,800,2018-06-14,2018-07-14
46,cash,500,2018-10-31,2018-11-30
47,cash,1300,2016-09-05,2016-10-05
48,cash,1900,2018-02-01,2018-03-03
49,cash,2500,2015-12-02,2016-01-01
50,cash,500,2016-06-16,2016-07-16
51,cash,500,2019-05-05,2019-06-04
52,cash,1300,2019-12-27,2020-01-26
53,cash,1700,2015-01-20,2015-02-19
54,cash,1000,2017-06-19,2017-07-19
55,cash,1100,2017-02-06,2017-03-08
56,cash,1300,2018-02-13,2018-03-15
57,cash,2100,2017-09-17,2017-10-17
58,cash,2500,2014-11-05,2014-12-05
59,cash,2400,2019-01-28,2019-02-27
60,cash,1800,2014-11-19,2014-12-19
61,cash,300,2017-02-16,2017-03-18
62,cash,1000,2019-04-01,2019-05-01
63,cash,1500,2016-02-16,2016-03-17
64,cash,2200,2018-02-05,2018-03-07
