street_id,street_name
0,PiÍkna
1,Gajowa
2,CzÍstochowska
3,Moniuszki
4,Lawendowa
5,Che≥moÒskiego
6,Lisia
7,Pa≥acowa
8,PartyzantÛw
9,Prosta
10,Lubelska
11,Wiúniowa
12,Ma≥a
13,OkrÍøna
14,Rycerska
15,Jana
16,Borowa
17,åwierczewskiego
18,Mi≥osza
19,Plaøowa
20,Staszica
21,WrÛblewskiego
22,Szkolna
23,Armii Krajowej
24,Rycerska
25,Stolarska
26,Tuwima
27,Kolonia
28,ZwyciÍstwa
29,WaryÒskiego
30,Cicha
31,Ga≥czynskiego
32,Szeroka
33,Kaszubska
34,Zakole
35,Go≥Íbia
36,Krzywa
37,Pu≥askiego
38,Olchowa
39,Kasztanowa
40,Grottgera
41,Kopernika
42,KsiÍøycowa
43,Kalinowa
44,Lelewela
45,Brzechwy
46,Mieszka I
47,Jana Paw≥a II
48,Malczewskiego
49,Kamienna
50,Poprzeczna
51,Akacjowa
52,Prosta
53,Mi≥a
54,JarzÍbinowa
55,Zboøowa
56,Skargi
57,Dzia≥kowa
58,Armii Krajowej
59,SybirakÛw
60,Widok
61,Wolnoúci
62,Ceglana
63,Ptasia
64,S≥onecznikowa
65,Dobra
66,WspÛlna
67,Rubinowa
68,Urocza
69,Fredry
70,Fio≥kowa
71,Ogrodowa
72,BorÛwkowa
73,Lazurowa
74,Kopernika
75,Cicha
76,Bydgoska
77,èrÛdlana
78,Zdrojowa
79,Okrzei
80,Prosta
81,Piastowska
82,Moniuszki
83,Harcerska
84,Ogrodowa
85,Mickiewicza
86,Zakπtek
87,Piekarska
88,Jasna
89,Rubinowa
90,Staffa
91,Lelewela
92,ToruÒska
93,Kraszewskiego
94,Kreta
95,Wiosenna
96,Jod≥owa
97,Pogodna
98,Miarki
99,Morcinka
100,årodkowa
101,Irysowa
102,GÛrnicza
103,Jadwigi
104,Rolna
105,Krakowska
106,Bema
107,Sawickiej
108,Leúna
109,JarzÍbinowa
110,Tulipanowa
111,ToruÒska
112,Skargi
113,KrÛlewska
114,Weso≥a
115,Letniskowa
116,Nadrzeczna
117,Ba≥tycka
118,Wiatraczna
119,WspÛlna
120,KosynierÛw
121,Sosnowa
122,Zapolskiej
123,Prusa
124,Browarna
125,Gajowa
126,Jana
127,PÛ≥nocna
128,OdrzaÒska
129,TÍczowa
130,Korczaka
131,RÛzana
132,Øeromskiego
133,Fio≥kowa
134,Rubinowa
135,Ga≥czynskiego
136,KraÒcowa
137,Mi≥osza
138,Ludowa
139,GdaÒska
140,Stefana Batorego
141,KrÛlewska
142,Browarna
143,Myúliwska
144,PowstaÒcÛw Wielkopolskich
145,Azaliowa
146,Koúcielna
147,Strumykowa
148,Ba≥tycka
149,Boczna
150,Che≥moÒskiego
151,Tylna
152,Lisia
153,Prosta
154,Øeglarska
155,Ogrodowa
156,Magnoliowa
157,Storczykowa
158,Morelowa
159,Willowa
160,Turkusowa
161,Nowa
162,Brzoskwiniowa
163,TÍczowa
164,Jadwigi
165,Leúna
166,MakuszyÒskiego
167,Jana III Sobieskiego
168,Bankowa
169,Bankowa
170,Cyprysowa
171,Lubelska
172,Ma≥a
173,Truskawkowa
174,Rynek
175,Wyzwolenia
176,Orzeszkowej
177,Warszawska
178,Stycznia
179,S≥onecznikowa
180,Wiπzowa
181,WyszyÒskiego
182,Przechodnia
183,Kamienna
184,Maja
185,Andersa
186,Willowa
187,Starowiejska
188,Szewska
189,Øytnia
190,Przemys≥owa
191,KsiÍøycowa
192,WrÛblewskiego
193,Handlowa
194,Kruczkowskiego
195,MakuszyÒskiego
196,Sokola
197,KosynierÛw
198,GdaÒska
199,DÍbowa
200,Zakole
201,Rolna
202,Rubinowa
203,Pocztowa
204,Piaskowa
205,Kruczkowskiego
206,Piekarska
207,PowstaÒcÛw Wielkopolskich
208,Klasztorna
209,Ja≥owcowa
210,Armii Krajowej
211,Szymanowskiego
212,Modrzewiowa
213,Grunwaldzka
214,Widok
215,Mokra
216,Ciasna
217,G≥owackiego
218,Storczykowa
219,ToruÒska
220,Maczka
221,Wojciecha
222,Rynek
223,Plater
224,PowstaÒcÛw ålπskich
225,Malczewskiego
226,Sawickiej
227,Lisia
228,Zdrojowa
229,KraÒcowa
230,Strzelecka
231,WaryÒskiego
232,Owocowa
233,Ceglana
234,Azaliowa
235,Zapolskiej
236,årednia
237,Sawickiej
238,Nieca≥a
239,Mazurska
240,Ciasna
241,Listopada
242,Jagodowa
243,Jeziorna
244,PiÍkna
245,Øwirki i Wigury
246,Bociania
247,W≥adys≥awa £okietka
248,Makowa
249,Lawendowa
250,PoznaÒska
251,Modrzewiowa
252,Letniskowa
253,Wolnoúci
254,Turkusowa
255,Maja
256,Kowalska
257,KrÛlewska
258,GÛrnicza
259,Jaúminowa
260,Mi≥a
261,Øeromskiego
262,Plaøowa
263,Krucza
264,Podwale
265,SpÛ≥dzielcza
266,Jab≥oniowa
267,Tysiπclecia
268,PÛ≥nocna
269,Wierzbowa
270,Strzelecka
271,S≥owicza
272,B≥Íkitna
273,Widokowa
274,Agrestowa
275,Borowa
276,BatalionÛw Ch≥opskich
277,Matejki
278,Na≥kowskiej
279,Borowa
280,£πkowa
281,PowstaÒcÛw ålπskich
282,Srebrna
283,Sawickiej
284,Leszczynowa
285,Wiklinowa
286,Turystyczna
287,Dworska
288,Cmentarna
289,Niepodleg≥oúci
290,Ceglana
291,Tuwima
292,Piekarska
293,Szpitalna
294,Czereúniowa
295,Cedrowa
296,Wilcza
297,Tylna
298,D≥ugosza
299,Szewska
300,£πkowa
301,Jaúminowa
302,Bociania
303,MakuszyÒskiego
304,Harcerska
305,Myúliwska
306,Øwirowa
307,Rolna
308,Graniczna
309,£abÍdzia
310,Bydgoska
311,Spacerowa
312,Grzybowa
313,Irysowa
314,Stefana Batorego
315,G≥ogowa
316,Jesionowa
317,Wolnoúci
318,Skrajna
319,Porzeczkowa
320,Boczna
321,Kolonia
322,Stefana Batorego
323,Polna
324,Leúna
325,Lelewela
326,Zakole
327,Wa≥owa
328,Koralowa
329,Lotnicza
330,Øeromskiego
331,Morelowa
332,Wroc≥awska
333,Rzemieúlnicza
334,Mi≥a
335,Wa≥owa
336,Krakowska
337,Maczka
338,Plaøowa
339,Rzemieúlnicza
340,Wiatraczna
341,G≥ogowa
342,Dπbrowskiego
343,D≥uga
344,Bursztynowa
345,Sienkiewicza
346,Majowa
347,Chopina
348,KsiÍøycowa
349,Kolonia
350,Sk≥adowa
351,Podmiejska
352,Grunwaldzka
353,Starowiejska
354,Turystyczna
355,Wschodnia
356,Warszawska
357,Spacerowa
358,Jana III Sobieskiego
359,Stefana Batorego
360,Popie≥uszki
361,Owocowa
362,Brzozowa
363,Wypoczynkowa
364,årednia
365,Polna
366,Promienna
367,Skoúna
368,Towarowa
369,Hallera
370,Wa≥owa
371,Poprzeczna
372,Fio≥kowa
373,WspÛlna
374,Borowa
375,Stawowa
376,Po≥udniowa
377,Zamkowa
378,Jagodowa
379,Pa≥acowa
380,Graniczna
381,Armii Krajowej
382,Turystyczna
383,OkrÍøna
384,KrÛtka
385,Kamienna
386,Kwiatowa
387,Wybickiego
388,Pszenna
389,W≥adys≥awa £okietka
390,GlÛwna
391,Kochanowskiego
392,Sucharskiego
393,Diamentowa
394,Wczasowa
395,WspÛlna
396,Rynek
397,MakuszyÒskiego
398,Jesionowa
399,Porzeczkowa
400,PiÍkna
401,Z≥ota
402,Irysowa
403,Kaliska
404,Widok
405,Hutnicza
406,Skoúna
407,Wczasowa
408,Morska
409,Piaskowa
410,Maczka
411,ZwyciÍstwa
412,Nadrzeczna
413,Kochanowskiego
414,Leszczynowa
415,Stolarska
416,Jaworowa
417,Jana Sobieskiego
418,Tulipanowa
419,Orkana
420,Matejki
421,Sucharskiego
422,Nadrzeczna
423,Warszawska
424,Polna
425,WyspiaÒskiego
426,Zdrojowa
427,Øabia
428,Go≥Íbia
429,Browarna
430,Kaszubska
431,Myúliwska
432,Solidarnosci
433,Rataja
434,Wschodnia
435,Bursztynowa
436,Ogrodowa
437,Krucza
438,Targowa
439,Lawendowa
440,Dπbrowskiego
441,Osiedlowa
442,Lelewela
443,Morcinka
444,Bema
445,Koúciuszki
446,Nadbrzeøna
447,Leszczynowa
448,Ja≥owcowa
449,Mazurska
450,PowstaÒcÛw Wielkopolskich
451,Czarnieckiego
452,Konstytucji 3 Maja
453,Staszica
454,Stefana Batorego
455,Parkowa
456,MakuszyÒskiego
457,Boles≥awa Chrobrego
458,Dworska
459,PÛ≥nocna
460,Wilcza
461,Poziomkowa
462,Kwiatowa
463,Ma≥a
464,Niepodleg≥oúci
465,OdrzaÒska
466,Turystyczna
467,Storczykowa
468,Spokojna
469,Lotnicza
470,Zachodnia
471,Che≥moÒskiego
472,Tuwima
473,Kaszubska
474,Jaworowa
475,Harcerska
476,Zielona
477,Nadrzeczna
478,Kossaka
479,Gajowa
480,Wysoka
481,Pa≥acowa
482,Krokusowa
483,Cegielniana
484,D≥uga
485,Ptasia
486,Zapolskiej
487,GdaÒska
488,Majowa
489,Andersa
490,Malczewskiego
491,Per≥owa
492,Dworska
493,Z≥ota
494,Szarych SzeregÛw
495,Plaøowa
496,Magnoliowa
497,S≥owicza
498,GÛrska
499,Dojazdowa
500,Orla
501,Parkowa
502,Rybacka
503,JarzÍbinowa
504,Dworska
505,DaszyÒskiego
506,Bankowa
507,BorÛwkowa
508,Swierkowa
509,Ko≥≥πtaja
510,Szmaragdowa
511,Zacisze
512,Tartaczna
513,Ptasia
514,Kochanowskiego
515,Prosta
516,Wieniawskiego
517,Zboøowa
518,Øurawia
519,Szarych SzeregÛw
520,Zachodnia
521,Staszica
522,Miodowa
523,PiÍkna
524,Warszawska
525,Dzia≥kowa
526,DaszyÒskiego
527,Wierzbowa
528,Fabryczna
529,Z≥ota
530,S≥owianska
531,Kolorowa
532,KrasiÒskiego
533,Zapolskiej
534,BorÛwkowa
535,Ceglana
536,Nowa
537,Liliowa
538,Stroma
539,Przemys≥owa
540,Kaliska
541,Øurawia
542,Jeziorna
543,Wypoczynkowa
544,GÛrna
545,S≥owackiego
546,Rumiankowa
547,Hutnicza
548,Jeøynowa
549,Irysowa
550,Jasna
551,Koralowa
552,M≥ynarska
553,Krakowska
554,GÛrnicza
555,Krucza
556,Kielecka
557,Starowiejska
558,Korczaka
559,Rzeczna
560,DÍbowa
561,Krokusowa
562,Kopernika
563,Dworcowa
564,Armii Krajowej
565,Pszenna
566,Grabowa
567,G≥ogowa
568,Szeroka
569,KiliÒskiego
570,Boles≥awa Chrobrego
571,Traugutta
572,Browarna
573,Szeroka
574,Pi≥sudskiego
575,Pomorska
576,Swierkowa
577,Cyprysowa
578,Jeøynowa
579,Sk≥odowskiej-Curie
580,åwierczewskiego
581,Wiejska
582,Piekarska
583,Kazimierza Wielkiego
584,Morelowa
585,Pomorska
586,KraÒcowa
587,Kazimierza Wielkiego
588,Nadrzeczna
589,KusociÒskiego
590,DÍbowa
591,Fredry
592,Weso≥a
593,£anowa
594,åwierczewskiego
595,Rataja
596,Zielona
597,Piwna
598,Fio≥kowa
599,Podwale
600,Rolnicza
601,Sienkiewicza
602,Øeromskiego
603,Grottgera
604,Rzeczna
605,Rzeczna
606,Mi≥a
607,Konwaliowa
608,Handlowa
609,Hallera
610,Sportowa
611,Willowa
612,SzczÍúliwa
613,Floriana
614,Staffa
615,Bociania
616,Wysoka
617,Podleúna
618,Ludowa
619,Ja≥owcowa
620,Przechodnia
621,Makowa
622,Grottgera
623,Lazurowa
624,Wolnoúci
625,Spokojna
626,DaszyÒskiego
627,Jana
628,Wilcza
629,Paderewskiego
630,Radosna
631,Liliowa
632,Korczaka
633,Porzeczkowa
634,Kaliska
635,Storczykowa
636,Koralowa
637,M≥yÒska
638,Kolorowa
639,Mostowa
640,Rycerska
641,Staszica
642,Narcyzowa
643,JastrzÍbia
644,OkrÍøna
645,Morcinka
646,Sokola
647,Promienna
648,Øeglarska
649,Urocza
650,Dobra
651,Orla
652,Diamentowa
653,Tylna
654,KusociÒskiego
655,Olchowa
656,Jod≥owa
657,Harcerska
658,Kaliska
659,Gajowa
660,G≥ogowa
661,GÛrska
662,Handlowa
663,Na≥kowskiej
664,Tuwima
665,Lwowska
666,Zboøowa
667,Dojazdowa
668,KrasiÒskiego
669,Zakπtek
670,Maczka
671,Klonowa
672,JagielloÒska
673,Korczaka
674,Witosa
675,Urocza
676,Prosta
677,JastrzÍbia
678,ZwyciÍstwa
679,èrÛdlana
680,Jana
681,Kolonia
682,ålπska
683,Agrestowa
684,Zielna
685,Listopada
686,Dojazdowa
687,Krasickiego
688,Chmielna
689,Promienna
690,Ogrodowa
691,Koúciuszki
692,Poprzeczna
693,åwierczewskiego
694,Øeglarska
695,Skargi
696,Kamienna
697,Majowa
698,Ko≥≥πtaja
699,Rataja
700,Mazurska
701,Narcyzowa
702,Okulickiego
703,Dojazdowa
704,Z≥ota
705,GdaÒska
706,Wiπzowa
707,Mostowa
708,Dolna
709,Dobra
710,Diamentowa
711,ZwyciÍstwa
712,Polna
713,Floriana
714,Bociania
715,Plaøowa
716,Zdrojowa
717,Bociania
718,JarzÍbinowa
719,Cmentarna
720,Szmaragdowa
721,Plaøowa
722,Diamentowa
723,Torowa
724,Warszawska
725,Storczykowa
726,£πkowa
727,Maczka
728,Wypoczynkowa
729,Morcinka
730,Nadrzeczna
731,Zielna
732,Ja≥owcowa
733,Wczasowa
734,Wyzwolenia
735,Graniczna
736,Plater
737,Klonowa
738,Piastowska
739,Grzybowa
740,GÛrska
741,Plaøowa
742,Øurawia
743,Sk≥adowa
744,Szymanowskiego
745,Dπbrowskiej
746,Orla
747,Piaskowa
748,Urocza
749,Podwale
750,Szafirowa
751,Czereúniowa
752,Malinowa
753,Klasztorna
754,Korczaka
755,Jaworowa
756,Krokusowa
757,Zacisze
758,KsiÍøycowa
759,Jaúminowa
760,Øeromskiego
761,Drzyma≥y
762,Narutowicza
763,Wojska Polskiego
764,Wyzwolenia
765,Kaszubska
766,Szarych SzeregÛw
767,RÛzana
768,Kalinowa
769,Liliowa
770,Warszawska
771,Rejtana
772,Grzybowa
773,PiÍkna
774,Konwaliowa
775,KraÒcowa
776,W≥adys≥awa Jagie≥≥y
777,Lotnicza
778,Rybacka
779,Bankowa
780,TÍczowa
781,SybirakÛw
782,Szarych SzeregÛw
783,Lelewela
784,Sarnia
785,Tysiπclecia
786,Stroma
787,Mi≥a
788,Rybacka
789,Kasprowicza
790,Morska
791,Pu≥askiego
792,Kasprowicza
793,MakuszyÒskiego
794,Majowa
795,WaryÒskiego
796,Podwale
797,M≥yÒska
798,Spokojna
799,åwierczewskiego
800,Jod≥owa
801,Kraszewskiego
802,Szpitalna
803,PodgÛrna
804,Wojciecha
805,Rybacka
806,Dworcowa
807,Stolarska
808,Letnia
809,Koúciuszki
810,Skoúna
811,KiliÒskiego
812,GlÛwna
813,Mieszka I
814,Morelowa
815,Konwaliowa
816,Fredry
817,SybirakÛw
818,BorÛwkowa
819,Witosa
820,Bociania
821,OkrÍøna
822,Zau≥ek
823,Plater
824,Zachodnia
825,Owocowa
826,Kwiatowa
827,Wiosenna
828,Broniewskiego
829,Orkana
830,Tysiπclecia
831,Morska
832,Olchowa
833,PowstaÒcÛw ålπskich
834,Che≥moÒskiego
835,Przechodnia
836,ToruÒska
837,S≥owianska
838,Opolska
839,WrÛblewskiego
840,Wypoczynkowa
841,Kolorowa
842,Kielecka
843,Storczykowa
844,Armii Krajowej
845,Koúcielna
846,Kolonia
847,Sokola
848,Wysoka
849,Piekarska
850,Przechodnia
851,Lubelska
852,Koúciuszki
853,Akacjowa
854,Liliowa
855,Kowalska
856,Zielna
857,Rumiankowa
858,Konopnickiej
859,Leúna
860,Bydgoska
861,Brzoskwiniowa
862,Bydgoska
863,Kossaka
864,Rolna
865,D≥uga
866,Wysoka
867,Podwale
868,Ko≥≥πtaja
869,Mokra
870,Stefana Batorego
871,Dworska
872,Wieniawskiego
873,Bukowa
874,JastrzÍbia
875,Opolska
876,GlÛwna
877,Jab≥oniowa
878,Sowia
879,Popie≥uszki
880,Reja
881,Sawickiej
882,Zaciszna
883,PÛ≥nocna
884,Rzeczna
885,JaskÛ≥cza
886,Modrzewiowa
887,Narcyzowa
888,Brzozowa
889,Mazurska
890,KrasiÒskiego
891,Srebrna
892,Orkana
893,Sadowa
894,Korczaka
895,Ludowa
896,Strumykowa
897,Rataja
898,JagielloÒska
899,Jaworowa
900,Fredry
901,Mickiewicza
902,Pszenna
903,WaryÒskiego
904,åwierczewskiego
905,Hallera
906,årednia
907,G≥owackiego
908,Kasztanowa
909,Bydgoska
910,Malczewskiego
911,Kossaka
912,GdaÒska
913,Mi≥osza
914,Azaliowa
915,Ptasia
916,Dobra
917,SybirakÛw
918,Popie≥uszki
919,Porzeczkowa
920,Lipca
921,Stolarska
922,Dπbrowskiego
923,Zielna
924,Krzywa
925,G≥ogowa
926,Norwida
927,Wiklinowa
928,Jod≥owa
929,Radosna
930,Paderewskiego
931,Gajowa
932,G≥ogowa
933,JaskÛ≥cza
934,Skargi
935,Konopnickiej
936,Sk≥adowa
937,Wπska
938,Krokusowa
939,Wierzbowa
940,Szymanowskiego
941,Z≥ota
942,Starowiejska
943,Opolska
944,Nowa
945,Storczykowa
946,Øabia
947,Letniskowa
948,Na≥kowskiej
949,Wybickiego
950,Osiedlowa
951,Kasprowicza
952,Morska
953,Mazurska
954,Sadowa
955,Kolejowa
956,Krucza
957,Zakπtek
958,Zacisze
959,Robotnicza
960,Øeromskiego
961,Kreta
962,Warszawska
963,Kaszubska
964,Ga≥czynskiego
965,Torowa
966,Grabowa
